Date,Open,High,Low,Close,Adj Close,Volume
2019-06-19,99403.000000,100327.000000,98978.000000,100303.000000,100303.000000,4411300
2019-06-21,100305.000000,102100.000000,100305.000000,102013.000000,102013.000000,5490800
2019-06-24,102018.000000,102617.000000,101589.000000,102062.000000,102062.000000,3559800
2019-06-25,102061.000000,102061.000000,99890.000000,100093.000000,100093.000000,4469200
2019-06-26,100095.000000,101126.000000,100095.000000,100689.000000,100689.000000,5013800
2019-06-27,100689.000000,101025.000000,99421.000000,100724.000000,100724.000000,4154700
2019-06-28,100726.000000,101563.000000,100726.000000,100967.000000,100967.000000,4079900
2019-07-01,100973.000000,102432.000000,100973.000000,101340.000000,101340.000000,411600
2019-07-02,101342.000000,101565.000000,100073.000000,100605.000000,100605.000000,4951600
2019-07-03,100576.000000,102177.000000,100451.000000,102043.000000,102043.000000,4801200
2019-07-04,102047.000000,104022.000000,102047.000000,103636.000000,103636.000000,3978700
2019-07-05,103628.000000,104176.000000,102622.000000,104089.000000,104089.000000,4208400
2019-07-08,104090.000000,104679.000000,103988.000000,104530.000000,104530.000000,3500300
2019-07-10,104537.000000,106650.000000,104537.000000,105817.000000,105817.000000,6815700
2019-07-11,105818.000000,105886.000000,104814.000000,105146.000000,105146.000000,4845300
2019-07-12,105158.000000,105731.000000,103903.000000,103906.000000,103906.000000,4748000
2019-07-15,103909.000000,104578.000000,103495.000000,103803.000000,103803.000000,3995500
2019-07-16,103805.000000,104440.000000,103361.000000,103775.000000,103775.000000,4475800
2019-07-17,103775.000000,104453.000000,103712.000000,103856.000000,103856.000000,3818300
2019-07-18,103859.000000,104773.000000,103859.000000,104717.000000,104717.000000,4410900
2019-07-19,104716.000000,104723.000000,103388.000000,103452.000000,103452.000000,3484400
2019-07-22,103452.000000,104278.000000,103452.000000,103949.000000,103949.000000,3464400
2019-07-23,103949.000000,104430.000000,103518.000000,103704.000000,103704.000000,4050300
2019-07-24,103707.000000,104570.000000,103707.000000,104120.000000,104120.000000,4872700
